NAMC_ID,NAMC_CODE,tamil_term,namc_term_word,short_definition,definition,section
1764,Z7,ஊருஸ்தம்பவாதம்,Ūrustampavātam,Gynoid type of obesity,"It is characterized by vali accumulated in the affected areas, heaviness present in the upper limbs, pricking pain, heaviness of head. It is explained by increased vali along with aaiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1765,Z8,வாதகர்னகம்,Vātakarṉakam,Meneire disease,"It is characterized by stumble walking, heat present all over the body, sometimes bleeding present, unable to hear, lack of co-ordination. It is explained by increased vali along with Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1766,Z9,குரிஷிகிரிஷவாதம்,Kuriṣikiriṣavātam,Strangulated inguinal hernia,"It is characterized by snake poison spreading all over the body, pricking pain all over the body, associated with bowel disease. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1767,Z10,நரித்தலை வாதம்,Narittalai Vātam,Gonococcal arthritis,"It is characterized by swelling in knee joint, restricted movements, early morning stiffness, and knee joint swells like fox head accumulated with blood sometimes. Patients suffering from depression. It is explained by increased vali along with aaiyam. Am",Siddha
1768,Z11,கும்ப வாதம்,Kumpa Vātam,Periarthritis cervical radiculopathy.,"It is characterized by dropsy, restricted movements, fatique, gripping pain in groin, giddiness, pain underneath the knee, inflammation in tonsils. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets",Siddha
1769,Z12,மலைத்தகம்ப வாதம்,Malaittakampa Vātam,Aggrevation of vatha with neuritis all over the body,"It is characterized by restricted movements in wrist joints, swelling, lips looks black, smells bad odour. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets affected.",Siddha
1770,Z13,பாணிக்கம்ப வாதம்,Pāṇikkampa Vātam,Parkinsonism,"It is characterized by shivering, insomnia, body is full of flatness, glued hands, dryness of skin and mouth. It is explained by increased vali along with Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets affected.",Siddha
1771,Z14,கூனி வாதம்,Kūṉi Vātam,Vatham with scoliatic features,"It is characterized by vomiting, numbness, pain throughout the body, chilled body, the body will find a sense of choking. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1772,Z15,ஆகுனிவாதம்,Ākuṉivātam,Increased vatham and scolisis with odema,"It is characterized by body pain, cold and cough, excessive salivation, sweating, loss of equilibrium and frequent mental retardation. It is explained by increased vali along with aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1773,Z16,அனோபகவாதம்,Aṉōpakavātam,Hepatitis,"It is characterized by pain in the stomach and liver, increased body weight, feeling of mobility all over the body. It is explained by increased vali along with Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1774,Z17,வாத உபகதம்,Vāta Upakatam,Peripheral Neuritis due to vit B1deficiency,"It is characterized by excessive sense of smell, increased appetite, physically active, giddiness. It is explained by increased vali and Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.",Siddha
1775,Z18,நெற்றிசூலை வாதம்,Neṟṟicūlai Vātam,Glucoma,"It is characterized by pain in the eye, eyebrows, nostrils and larynx causing ulceration, severe pain in the arm, foot and body organs, loss of sleep. It is explained by increased vali along with Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and",Siddha
1776,Z19,கர்ன சூலை வாதம்,Karṉa Cūlai Vātam,Pustular otitis media,"It is characterized by tinnitus, ear ache, thirsty, un easiness in mind, mood disorder and sometimes stroke. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.",Siddha
1777,Z20,செவிபடுவாதம்,Cevipaṭuvātam,Secretin otitis media,"It is characterized by hearing of sounds produced by tides, mucous discharge, ear block, which is released by coughing, ear ache. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.",Siddha
1778,Z21,பக்க வாதம்,Pakka Vātam,Incomplete hemiplegia,"It is characterized by inability to move, increased pain in the body, seizure, excessive sweat, dryness. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1779,Z22,பக்ஷவாதம்,Pakṣavātam,Complete Hemiplegia,"It is characterized by inability of movements, unable to swallow, excessive salivation, unable to inflate, unable to do anything properly. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1780,Z23,பேய் வாதம்,Pēy Vātam,Inflammation and numbness in the body below the head,"It is characterized by pain and swelling present all over the body, restricted movements, sometimes vomiting, giddiness, fainting. It is explained by increased vali and aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1781,Z24,பிராணாலய வாதம்,Pirāṇālaya Vātam,Aggrevation of vatham and emasciation leading to death,"It is characterized by pain throughout the body, pallor, weakness present in upper and lower limbs, emaciation, shivering. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected",Siddha
1782,Z25,சலஸ்தம்ப வாதம்,Calastampa Vātam,Strangury with severe constipation due to vatha,"It is characterized by pain present during micturition, ulcer, sometime decrease urination, nervousness. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1783,Z26,சந்து வாதம்,Cantu Vātam,Polyarthritis,"It is characterized by pain present all over the joints, inflammation present in the joints, physically depressed, dryness present in the mouth and tongue, sometime faintness, painful extremities, sometimes ulceration may present. It is explained by incre",Siddha
1784,Z27,சகன வாதம்,Cakaṉa Vātam,Cervical spandylosis,"It is characterized by pain present in the back of the neck, sometimes up to hips, body becomes heavier, burning sensation present in the eyes. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets affe",Siddha
1785,Z28,அற்புத வாதம்,Aṟputa Vātam,Facial palsy (trigeminal neuralgia),"It is characterized by sudden onset with symptoms like angry, crying, biting, etc., unable to talk properly, unable to swallow, sometimes deviation of the angle of mouth, excessive salivation, tingling sensation present in the affected side. It is explain",Siddha
1786,Z29,உரக வாதம்,Uraka Vātam,Bells palsy,"It is characterized by the symptoms like loss of wrinkling, unable to frown, tremble present in the head, sometimes body become cool, fatigue, weakness, dullness. It is explained by increased aiyam along with vali. Among the seven Uṭaṟtātukkaḷ Cāram, Ce",Siddha
1787,Z30,உரகாரி வாதம்,Urakāri Vātam,Liver abscess,"It is characterized by loss of appetite, if the person is hungry unable to consume food, dis orientation, swelling present in the liver, loss of hair, sometimes internal bleeding, chest pain, death may occur. It is explained by increased vali later than a",Siddha
1788,Z31,அஸ்வதம்ப வாதம்,Asvatampa Vātam,TB spine,"It is characterized by pallorness of the body, feeling pain throughout the body, cough, fever, cold, excessive body weight, pricking pain present in the body. It is explained by increased vali along with aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr",Siddha
1789,Z32,பாசத்தம்ப வாதம்,Pācattampa Vātam,Aggrevation of vatham and aggrevation of pittham causing palpitation and increase of pittha in muscu,"It is characterized by laziness, pricking pain all over the body, dryness present in the mouth, loss of appetite, sometimes faint. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1790,Z33,நேத்திர பவுத்திரவாதம்,Nēttira Pavuttiravātam,Carotic carvernosus,"It is characterized by breathlessness, pain present in the fore-head, brow and ears, sometimes all over the body, unable to stand, restricted movements, dizziness, unwanted noise heard in the ear. It is explained by increased vali. Among the seven Uṭaṟtāt",Siddha
1791,Z34,தண்டக வாதம்,Taṇṭaka Vātam,Lumbar spondyloris,"It is characterized by pain present in the back of the spine, the pain is due to doing wrong yoga posture, unable to bent properly, pain may aggravate during movements. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, K",Siddha
1792,Z35,அஷ்ட தந்திர வாதம்,Aṣṭa Tantira Vātam,Tetanus,"It is characterized by uncomfortable feeling throughout the body, restricted movements, unable to open eyes, tendency of biting, excessive salivation, body looks like corpse. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr,",Siddha
1793,Z36,வசனா வாதம்,Vacaṉā Vātam,Grandmal epilepsy,"It is characterized by pain present all over the body, feeling of sadness, having the qualities like respecting elders, stands on the side of bad qualities, sunken eyes, patient falls due to unconscious, but physically fit. It is explained by increased va",Siddha
1794,Z37,மகா வாதம்,Makā Vātam,Pernicious Anaemia,"It is characterized by loss of appetite, pain present in the stomach region, decrease urination and stool passage, weakness, emaciation, yellow discoloration of the body. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr g",Siddha
1795,Z38,மிருத் வாதம்,Mirut Vātam,Crohns disease,"It is characterized by pain present all over the body sometimes it disappears, burning sensation present in the stomach, constipation, bleeding, weakness present in both extremities, mental sickness. It is explained by increased vali along with Aẕal. Amo",Siddha
1796,Z39,உதர வாதம்,Utara Vātam,Gastric malignancy,"It is characterized by pain in the stomach causing vomiting, unable to swallow, feeling of lump present in the throat, sometimes stroke may cause, excessive discharge of tears, weakness, when the disease gets worsen there may be possibility of expulsion o",Siddha
1797,Z40,மூத்திர உதிர வாதம்,Mūttira Utira Vātam,Bladder carcinoma,"It is characterized by spontaneous urination, feeling of heaviness present in the chest, inflammation, insomnia, pallor, pain present in the stomach, heaviness present in the abdomen. It is explained by increased vali with Aẕal. Among the seven Uṭaṟtātukk",Siddha
1798,Z41,சுக்கில வாதம்,Cukkila Vātam,Prostatic carcinoma,"It is characterized by emaciation, incontinence of urine and stools, nasal bleeding, breathlessness, foul smell urine, unhappiness. It is explained by increased vali along with aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affect",Siddha
1799,Z42,சவ்விரங்க வாதம்,Cavviraṅka Vātam,Aggrevation of vatha and dyspepsial symptoms,"It is characterized by blackish discoloration of skin, burning sensation, vomiting, nausea after seeing food, heart burn, frequent sleep. It is explained by increased vali with Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets a",Siddha
1800,Z43,ஊர்த்துவ வாதம்,Ūrttuva Vātam,Congestive cardiac failure,"It is characterized by excessive breathing, pain in stomach and hips, presence of excessive salivation, feel of nervousness, pain present in the foot, greenish discoloration of skin. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram,",Siddha
1801,Z44,அஞ்ஞானத்தம்பம்,Aññāṉattampam,Laryngeal carcinoma,"It is characterized by pain present in the larynx, closure of eyelids, breathlessness, dryness of mouth, pain in the chest. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.",Siddha
1802,Z45,சிரக்கம்ப வாதம்,Cirakkampa Vātam,Cerebral palsy,"It is characterized by pain in the neck radiating up to upper limbs, restricted movements, loss of hearing, loss of memories, sleep, and heaviness of head. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets",Siddha
1803,Z46,சதஸ்தம்ப வாதம்,Catastampa Vātam,Hyperthyrodisim,"It is characterized by fatigue, swelling present in the tongue, excessive salivation, loss of taste, swelling present in the body and sometimes in extremities. It is explained by increased aiyam along with vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr",Siddha
1804,Z47,வச்சிரரூப வாதம்,Vaccirarūpa Vātam,Menengitis,"It is characterized by inflammation in the heart, eyes look upward and upward, head nodding, fatigue, yawing, dizziness, constipation, decrease output of urine. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕupp",Siddha
1805,Z48,கண்டகிராகவாதம்,Kaṇṭakirākavātam,Hypertrophy heart diseases,"It is characterized by pain in the larynx, chest pain, bleeding present in the body, respiratory distress, excessive sweat present in the face, loss of appetite. It is explained by increased vali along with Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennī",Siddha
1806,Z49,நகாரி வாதம்,Nakāri Vātam,hypothyrodisim,"It is characterized by pain present in the larynx and in the back, bloating, belching, unable to speak properly, itching present all over the body, swelling present in the upper lip. It is explained by increased vali with aiyam. Among the seven Uṭaṟtātukk",Siddha
1807,Z50,பதித வாதம்,Patita Vātam,Vatham aggrevation with stammering and impotence,"It is characterized by pain present in the node due to excersice speech, pain present in the fore head, unasle to speak properly, loss of appetite. It is explained by increased vali and Aẕal. Among the seven Uṭaṟtātukkaḷ all seven gets affected.",Siddha
1808,Z51,யோனிசூலை வாதம்,Yōṉicūlai Vātam,Vaginitis,"It is characterized by air flow from the vagina and anus, pain, cramps in the joints, thighs, incontinence of urine even in sleep. It is explained by increased vali with Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets affected",Siddha
1809,Z52,கர்ப்பசூலை வாதம்,Karppacūlai Vātam,Lower abdominal pain with accumulation of blood in uterus,"It is characterized by accumulation of air in the abdomen during pregnancy, which cause barrier to sex, distress, expulsion of air. It is explained by increased vali with Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.",Siddha
1810,Z53,அஷ்டசூலை வாதம்,Aṣṭacūlai Vātam,Aggrevation of vatham and pittham causing inflammation of cervix and ovary,"It is characterized by constipation, accumulation of air in the abdomen sometimes it may expels through vagina, pain in the vagina region, watery discharge, tooth biting, stomach pain. It is explained by increased vali with Aẕal. Among the seven Uṭaṟtātu",Siddha
1811,Z54,குடல் வாதம்,Kuṭal Vātam,hernia,"It is characterized by accumulation air in the intestine, causing gripping pain in the loin and groin region, distress, swelling increases pain increases, fever, cold, heaviness in the head. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ",Siddha
1812,Z55,அசுவ வாதம்,Acuva Vātam,Filarial scrotum,"It is characterized by itching present in the abdomen, swelling present in the scrotum, that makes distress, fluid accumulation present sometimes, scrotum will pull inside, that makes pain, itching present in the scrotum. It is explained by increased vali",Siddha
1813,Z56,மெச்சு வாதம்,Meccu Vātam,Urinary tract infection,"It is characterized by fatigue, yawning, laziness, accumulation of air in the genitals that cause shrinkage of the penis, depression and faint. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1814,Z57,மூடு வாதம்,Mūṭu Vātam,"Aggrevation of vatha causing pain in the nape of the neck, anal canal and penis","It is characterized by pain present in the nape of the neck, unable to mobilize downwards, unable to rotate, pain present in the genitals and in the thigh region. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets a",Siddha
1815,Z58,வசு வாதம்,Vacu Vātam,Due to aggrevation of vatha shrinking of the intestine and dryness and plascitity of skin,"It is characterized by loss of weight, intestine will be shrunken, itching and dryness present in the skin, excessive weight gain, loss of appetite, plasticity of skin. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and",Siddha
1816,Z59,பீஜஸ்தம்ப வாதம்,Pījastampa Vātam,Orchitis,"It is characterized by pain present in the penis, unable to urinate, painful scrotum, depression. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.",Siddha
1817,Z60,தந்திர வெட்டி வாதம்,Tantira Veṭṭi Vātam,Hydrocele,"It is characterized by accumulation of water in the scrotum, scrotal tissues become painful and producing the sounds as of gut, abdominal pain. It is explained by increased vali with aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1818,Z61,வாதசுரோணிதம்,Vātacurōṇitam,Polyarthritis,"It is characterized by pain present in the major and minor joints, restricted movements, loss of appetite, sleepy, excessive salivation. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets affected.",Siddha
1819,Z62,சித்துவாத சுரோணிதம்,Cittuvāta Curōṇitam,burning sensation all over the body with odema and inflammation,"It is characterized by accumulation of air in the whole body, dryness, oedema all over the body, burning sensation, pain over the nerve endings. It is explained by increased vali and Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu",Siddha
1820,Z63,வைகித வாத சுரோணிதம்,Vaikita Vāta Curōṇitam,Pemphis vulgaris,"It is characterized by eruptive swellings which is swollen and sometimes discharge of blood, fever, irritation, cough, unable to touch, disgusting appearance. It is explained by increased aiyam with vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, K",Siddha
1821,Z64,உதிர வாத சுரோணிதம்,Utira Vāta Curōṇitam,Rheumatoid arthritis (Initial stage),"It is characterized by swelling of major and minor joints, increased pain, stress, loss of appetite, restricted movements, swollen joints. It is explained by increased vali and Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets",Siddha
1822,Z65,பயித்திய வாத  சுரோணிதம்,Payittiya Vāta Curōṇitam,"Rheumatoid arthritis, Rheumatic fever (Later stage)","It is characterized by swelling of major and minor joints, increased pain, stress, loss of appetite, restricted movements, swollen joints later it affects the heart.It is explained by increased vali and Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ū",Siddha
1823,Z66,சிலேட்டுமவாத சுரோணிதம்,Cilēṭṭumavāta Curōṇitam,Tuberculosis abdomen,"It is characterized by swelling present in the stomach, intolerance to cold, pricking pain as of scorpion bite, breathlessness, pain in the head and forehead, dryness of mouth, irritation, depression. It is explained by increased vali. Among the seven Uṭa",Siddha
1824,Z67,உதரவாத சுரோணிதம்,Utaravāta Curōṇitam,Petichial haemorrhage,"It is characterized by bleeding in the peripheral nerves, headache, feeling unconscious, emaciation, excessive thirst, increased appetite. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1825,Z68,குண அவதானகம்,Kuṇa Avatāṉakam,Abortion,"It is characterized by expulsion of foetus within three months, burning sensation, anger, abdomen will shrink completely. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1826,Z69,கண்டக அவதானகம்,Kaṇṭaka Avatāṉakam,Pre eclampsia,"It is characterized by seizures after the delivery, pain present in the nose and eyebrows, pain in the tongue, dentures and inner dentin. It is explained by increased vali and Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets af",Siddha
1827,Z70,சிறுகம்ப அவதானகம்,Ciṟukampa Avatāṉakam,Age related hyperkyhosis,"It is characterized by bending of spine due to age, unable to look straight, restricted movements, pain all over the body. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets affected.",Siddha
1828,Z71,வாதத்தலை நோக்காடு,Vātattalai Nōkkāṭu,Vatha aggrevation and headache,"It is characterized by heaviness of head, head ache, pain in the both ears, nose, forehead. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
1829,Z72,பித்தத்தலை நோக்காடு,Pittattalai Nōkkāṭu,Maxillary sinisitis,"It is characterized by pain present when head down, rattle sound heard in ear, excessive secretion, pain on the tongue, loss of hearing, continuous eye brow blinking. It is explained by increased vali along with aiyam. Among the seven Uṭaṟtātukkaḷ Cāram",Siddha
1830,Z73,சிலேட்டும தலை நோக்காடு,Cilēṭṭuma Talai Nōkkāṭu,Aiya aggrevation and head ache,"It is characterized by head ache due to exposure of cold, drinking chilled water, overwhelming chills causes pain in the face, excessive dryness and loss of appetite. It is explained by increased vali along with aiyam. Among the seven Uṭaṟtātukkaḷ Cāram,",Siddha
1831,Z74,சன்னிவாத நோக்காடு,Caṉṉivāta Nōkkāṭu,Mukkutra aggrevation and head ache,"It is characterized by head ache due to stress, depression, excessive arguments, pain in the calf muscle, unable to speak properly, loss of intelligent quotient. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕupp",Siddha
1832,Z75,இரத்த பித்த நோக்காடு,Iratta Pitta Nōkkāṭu,Occital head ache due hypertension,"It is characterized by head ache present in the occipital region, excessive thirst, breathlessness, body becomes darker. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Eṉpu gets affected.",Siddha
1833,Z76,கிருமிகத நோக்காடு,Kirumikata Nōkkāṭu,Ear pain due to infection,"It is characterized by headache and pain in the nose and eyebrows. Hand and legs become stumble, feeling excited. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ, gets affected.",Siddha
1834,Z77,சூரியா வர்த்தம் நோக்காடு,Cūriyā Varttam Nōkkāṭu,Frontal ethmoidal sinisitis,"It is characterized by pain in the head or side of the head, pain in the eye, nose, and eyebrow. Pain reduces once the sun rises. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ, gets affected.",Siddha
1835,Z78,சந்திரா வர்த்தம் நோக்காடு,Cantirā Varttam Nōkkāṭu,Maxillary ethmoidal sinisitis,"It is characterized by pain throughout the body, sneezing and absence of sneezing, painful eyebrow, pain reduces in the dawn. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ, gets affected.",Siddha
1836,Z79,கர்னாவர்த்தம் நோக்காடு,Karṉāvarttam Nōkkāṭu,Pain in the ears,"It is characterized by ear ache, sometimes bleeding, tumour will present, frequent headache, and upset, loss of appetite and sleep. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ, gets affected.",Siddha
1837,Z80,ஒரு தலையின் வர்தம்,Oru Talaiyiṉ Vartam,Cluster headache,"It is characterized by headache, like splitting the head, blinking eyes due to burning sensation, shivering, loss of appetite, loss of hair. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ, gets affected.",Siddha
1838,Z81,வாதகர்ன சூலை,Vātakarṉa Cūlai,Pain in the ears due to aggrevation of vatha,"It is characterized by discharge present in the ears, hearing noise in the ear, equilibrium disturbances, unable to tolerate external sounds. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ, gets affected.",Siddha
1839,Z82,பித்தகர்ண சூலை,Pittakarṇa Cūlai,Pain in the ears due to aggrevation of azhal,"It is characterized by pain present in both ears, sometimes bleeding, foul smell odour, heaviness of head, excessive discharge. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ, gets affected.",Siddha
1840,Z83,சிலேட்டும கர்ண சூலை,Cilēṭṭuma Karṇa Cūlai,Pain in the ears due to aggrevation of aiyam,"It is characterized by pain present in both ears, pain aggravates due to external objects, decreased sense of hearing, wax present in the ear. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, gets affected.",Siddha
1841,Z84,கிருமிகர்ன சூலை,Kirumikarṉa Cūlai,Pain in ears due to infestations,"It is characterized by pain in the ears due to worm infestations, sometimes bleeding present, decreased sense of hearing. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ, gets affected.",Siddha
1842,Z85,தந்த வாயு,Tanta Vāyu,Pain in tooth,"It is characterized by tooth ache, pain increased on having cool items, sometimes pain radiates to whole face due to nerve involvement. When inflammation occurs again, the joints can cause ulcers and pain in the teeth, stabbing head ache, incontinence of",Siddha
1843,ZA,சூலை நோய்,-,-,-,Siddha
1844,ZAA,வளி,Vaḷi,-,-,Siddha
1845,ZAA1.1,வளி சூலை,Vaḷi Cūlai,Pain in the extremities,"It is characterized by weakness of the extremities of the body with increased sleep, chillness of the body and burning micturation It is explained by increased vali. Amoung the seven udal thathukkal Cāram, Cennīr and Ūṉ gets affected.",Siddha
1846,ZAA1.2,மேக சூலை,Mēkacūlai,pricking pain in the extremities,"It is characterized by the pricking pain of the extremities, constipation, hyperhydrosis, pain and swelling in the joints, loss of weight. It is explained by increased vali. Amoung the seven udal thathukkal Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets affect",Siddha
1847,ZAA1.3,முறி சூலை,Muṟicūlai,Spasmodic pain in the abdomen,"It is characterized by the spasmodic pain in the abdomen with head ache, nausea, flatulance and pain in the penis. It is explained by increased vali (Abanan). Amoung the seven udal thathukkal Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.",Siddha
1848,ZAA1.4,குன்ம சூலை,Kuṉmacūlai,Pain in the abdomen,"It is characterized by constipation, urinary obstruction, flatulance, breathlessness, dryness of the body and tastelessness It is explained by increased Aẕal. Amoung the seven udal thathukkal Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.",Siddha
1849,ZAA1.5,சுர சூலை,Curacūlai,Pain all over the body and fever,"It is characterized by fever with body ache, bleeding in the oral cavity, abdominal pain and indigesion. It is explained by increased vali. Amoung the seven udal thathukkal Cāram, Cennīr, Ūṉ gets affected.",Siddha
1850,ZAA1.6,பக்க சூலை,Pakkacūlai,Intolerable pricking pain in the chest,"It is explained by intolerable pricking pain in the chest, swelling in the flanks, headache, body pain, fever, tiredness and dyspnoea. It is explained by increased vali. Amoung the seven udal thathukkal Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets affected.",Siddha
1851,ZAA1.7,கற்ப சூலை,Kaṟpacūlai,pain and sewlling in the uterus,"It is characterized by the fever, bleeding and stgnation of blood in the uterus, Abdominal swelling like pregnancy and pain in the anus. It is explained by increased vali. Amoung the seven udal thathukkal Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets affect",Siddha
1852,ZAA1.8,தூர சூலை,Tūracūlai,Abdomen pain and flatulance,"It is characterized by the Excessive salivation, heart burn, flautalnce, urinary obstruction and constipation. It is explained by increased vali. Amoung the seven udal thathukkal Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets affected.",Siddha
1853,ZAB,அழல்,Aẕal,-,-,Siddha
1854,ZAB1.1,அழல் சூலை,Aẕal Cūlai,Weakeness and pain in the whole body,"It is characterized by loss of weight with pain in whole body, depression, giddiness and weakness of the body. It is explained by increased Aẕal. Amoung the seven udal thathukkal Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.",Siddha
1855,ZAB1.2,உலர்த்து சூலை,Ularttucūlai,Dryness and pain in the whole body,"It is characterized by dryness of the body with pain in the whole body and oedema. It is explained by increased Aẕal. Amoung the seven udal thathukkal Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.",Siddha
1856,ZAB1.3,கறை சூலை,Kaṟaicūlai,Pricking pain in the palm and sole,"It is characterized by the burning sensation, pricking pain and sweating in the palm and sole. It is explained by increased Aẕal. Amoung the seven udal thathukkal Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.",Siddha
1857,ZAC,ஐயம்,Aiyam,-,-,Siddha
1858,ZAC1.1,ஐய சூலை,Aiya Cūlai,Pain in the lower abdomen,"It is characterized by lower abdominal pain with throat congestion, increased body temprature and sweating It is explained by increased aiyam. Amoung the seven udal thathukkal Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.",Siddha
